source_id,source_kind,relationship_id,relationship_label,target_id,target_kind,description,properties_json
algo.optimize.road.topology_for_buildings.v1,algorithm,consumes_data_type,消费数据类型,dt.road.network,data_type,FusionCode Road Topology For Buildings（algo.optimize.road.topology_for_buildings.v1）消费数据类型dt.road.network（dt.road.network）。,{}
algo.partition.aoi.grid.v1,algorithm,consumes_data_type,消费数据类型,dt.raw.vector,data_type,AOI Grid Partition Reserved（algo.partition.aoi.grid.v1）消费数据类型dt.raw.vector（dt.raw.vector）。,{}
algo.preprocess.building.source_normalize.v1,algorithm,consumes_data_type,消费数据类型,dt.building.bundle,data_type,FusionCode Building Source Normalize（algo.preprocess.building.source_normalize.v1）消费数据类型dt.building.bundle（dt.building.bundle）。,{}
algo.preprocess.building.source_normalize.v1,algorithm,consumes_data_type,消费数据类型,dt.building.source_set,data_type,FusionCode Building Source Normalize（algo.preprocess.building.source_normalize.v1）消费数据类型dt.building.source_set（dt.building.source_set）。,{}
algo.refine.building.post_conflict_shrink.v1,algorithm,consumes_data_type,消费数据类型,dt.building.conflict_optimized,data_type,FusionCode Building Post Conflict Shrink（algo.refine.building.post_conflict_shrink.v1）消费数据类型dt.building.conflict_optimized（dt.building.conflict_optimized）。,{}
algo.refine.building.road_tail.v1,algorithm,consumes_data_type,消费数据类型,dt.building.conflict_optimized,data_type,FusionCode Road Tail Building Refinement（algo.refine.building.road_tail.v1）消费数据类型dt.building.conflict_optimized（dt.building.conflict_optimized）。,{}
algo.refine.building.road_tail.v1,algorithm,consumes_data_type,消费数据类型,dt.road.network,data_type,FusionCode Road Tail Building Refinement（algo.refine.building.road_tail.v1）消费数据类型dt.road.network（dt.road.network）。,{}
algo.resolve.building.residual_priority.v1,algorithm,consumes_data_type,消费数据类型,dt.building.fused_raw,data_type,FusionCode Residual Priority Conflict Resolution（algo.resolve.building.residual_priority.v1）消费数据类型dt.building.fused_raw（dt.building.fused_raw）。,{}
algo.transform.raw_to_building_bundle,algorithm,consumes_data_type,消费数据类型,dt.raw.vector,data_type,Raw Vector to Building Bundle（algo.transform.raw_to_building_bundle）消费数据类型dt.raw.vector（dt.raw.vector）。,{}
algo.transform.raw_to_road_bundle,algorithm,consumes_data_type,消费数据类型,dt.raw.vector,data_type,Raw Vector to Road Bundle（algo.transform.raw_to_road_bundle）消费数据类型dt.raw.vector（dt.raw.vector）。,{}
algo.transform.trajectory_to_road_candidate,algorithm,consumes_data_type,消费数据类型,dt.trajectory.raw,data_type,Trajectory To Road Candidate Reserved Seam（algo.transform.trajectory_to_road_candidate）消费数据类型dt.trajectory.raw（dt.trajectory.raw）。,{}
algo.validate.building.presence_raster.v1,algorithm,consumes_data_type,消费数据类型,dt.building.normalized_set,data_type,FusionCode Building Presence Raster Validation（algo.validate.building.presence_raster.v1）消费数据类型dt.building.normalized_set（dt.building.normalized_set）。,{}
algo.validate.building.presence_raster.v1,algorithm,consumes_data_type,消费数据类型,dt.raster.building_presence,data_type,FusionCode Building Presence Raster Validation（algo.validate.building.presence_raster.v1）消费数据类型dt.raster.building_presence（dt.raster.building_presence）。,{}
task_bundle.direct_request,task_bundle,declares_data_need,声明数据需求,dn.task.building.fusion.input,data_need,Direct Task Request Bundle（task_bundle.direct_request）声明数据需求dn.task.building.fusion.input（dn.task.building.fusion.input）。,{}
task_bundle.direct_request,task_bundle,declares_data_need,声明数据需求,dn.task.poi.fusion.input,data_need,Direct Task Request Bundle（task_bundle.direct_request）声明数据需求dn.task.poi.fusion.input（dn.task.poi.fusion.input）。,{}
task_bundle.direct_request,task_bundle,declares_data_need,声明数据需求,dn.task.road.fusion.input,data_need,Direct Task Request Bundle（task_bundle.direct_request）声明数据需求dn.task.road.fusion.input（dn.task.road.fusion.input）。,{}
task_bundle.direct_request,task_bundle,declares_data_need,声明数据需求,dn.task.water.fusion.input,data_need,Direct Task Request Bundle（task_bundle.direct_request）声明数据需求dn.task.water.fusion.input（dn.task.water.fusion.input）。,{}
task_bundle.direct_request,task_bundle,declares_data_need,声明数据需求,dn.task.waterways.fusion.input,data_need,Direct Task Request Bundle（task_bundle.direct_request）声明数据需求dn.task.waterways.fusion.input（dn.task.waterways.fusion.input）。,{}
task_bundle.earthquake.building_road,task_bundle,declares_data_need,声明数据需求,dn.task.building.fusion.input,data_need,Earthquake Building And Road Bundle（task_bundle.earthquake.building_road）声明数据需求dn.task.building.fusion.input（dn.task.building.fusion.input）。,{}
task_bundle.earthquake.building_road,task_bundle,declares_data_need,声明数据需求,dn.task.road.fusion.input,data_need,Earthquake Building And Road Bundle（task_bundle.earthquake.building_road）声明数据需求dn.task.road.fusion.input（dn.task.road.fusion.input）。,{}
